change_type,event_pixels,total_area_ha,earliest_year,latest_year,mean_magnitude,mean_duration_years,mean_dsnr
disturbance,893,80.36999999999999,1998,2019,0.2262933948072047,1.8275475923852185,3.2515116613629416
recovery,557,50.129999999999995,2002,2022,0.18991023197743367,4.6750448833034115,2.7538599441466682
